,ppc-pval,mtt-pval,mtt-stat,mtt-gdf,gft-pval,gft-stat,gft-dgf
"[0008]-['0328', '0389', '0525', '0546']",0.3165,0.939293273652731,0.12525504605713422,2,0.27889163509660353,9.806212422800455,8
"[0011]-['0042', '0125', '0146', '0149']",0.0215,0.9986461953994202,0.0027094436438943603,2,0.0008398825807637751,26.56593377860746,8
"[0011]-['0042', '0149', '0339', '0604']",0.518,0.7824014530631709,0.07628140834924935,1,0.4072744149891858,5.071020648506886,5
"[0011]-['0058', '0148', '0375', '0617']",0.717,0.8999090889778845,0.21092306601340383,2,0.8315927770095856,4.274020767624984,8
"[0022]-['0043', '0064', '0100', '0299']",0.7965833333333333,1.0,-0.005201935506192967,2,0.91076059664116,3.346640479055429,8
"[0023]-['0038', '0135', '0352', '0505']",0.20533333333333334,0.9333215409776501,0.1380110124671461,2,0.15425286626042697,11.93224009801208,8
"[0030]-['0044', '0125', '0542', '0730']",0.19025,0.768807114414784,0.5258303348949127,2,0.1463042235385681,12.11135502793137,8
"[0030]-['0146', '0730', '0863', '0865']",0.059833333333333336,0.9061608942098485,0.19707680255569926,2,0.034902518539825476,16.570746036437416,8
"[0033]-['0030', '0375', '0512', '0733']",0.4241666666666667,0.9121842729904172,0.18382651120069227,2,0.4168443460593023,8.172076797838145,8
"[0033]-['0289', '0315', '0485', '0865']",0.4935833333333333,0.9820771285939309,0.03617086271123071,2,0.49322865040276465,7.408863371849497,8
"[0038]-['0016', '0158', '0345', '0830']",0.10641666666666667,0.77742245139682,0.5035427617438586,2,0.06610605403958836,14.65988684676935,8
"[0042]-['0239', '0443', '0525', '0599']",0.18008333333333335,0.9929515973560076,0.014146719951867226,2,0.14084040669019182,12.239338306682939,8
"[0053]-['0043', '0094', '0244', '0632']",0.6485,0.9775404507819715,0.04543121220936541,2,0.7204198503340659,5.342502709719287,8
"[0057]-['0075', '0353', '0505', '0617']",0.6180833333333333,0.9150469510873658,0.17755980471855537,2,0.6503108003219333,5.9725145592138995,8
"[0058]-['0038', '0072', '0375', '0525']",0.46175,1.0,-0.01522536718593237,1,0.17847066840656808,7.61981369584705,5
"[0058]-['0075', '0299', '0542', '0589']",0.7175,0.3296757363448152,0.9501711501473505,1,0.7423891479395136,2.72436710921202,5
"[0064]-['0053', '0336', '0506', '0863']",0.09458333333333334,0.9700995266403185,0.06071321592877155,2,0.052021793646014454,15.38823517708145,8
"[0064]-['0180', '0375', '0485', '0859']",0.20475,0.9410875148966737,0.12143828341116603,2,0.16524691441932818,11.696930895348098,8
"[0075]-['0031', '0178', '0345', '0512']",0.4063333333333333,0.9874272451857711,0.025304921364593724,2,0.34438675286012155,8.97526642207876,8
"[0075]-['0042', '0240', '0544', '0730']",0.29033333333333333,0.9305938882059713,0.14386461435508124,2,0.24982224585458684,10.22150346522383,8
"[0080]-['0150', '0351', '0373', '0542']",0.6475833333333333,0.9529244531871579,0.09643930219290553,2,0.7132258744331226,5.40785705209713,8
"[0100]-['0023', '0344', '0546', '0857']",0.70675,1.0,-0.005768390308759308,2,0.8175488777202471,4.4183133721990835,8
"[0100]-['0142', '0305', '0315', '0505']",0.7896666666666666,0.9902363040839812,0.019623346683488307,2,0.8798717752667039,3.738987419630626,8
"[0134]-['0022', '0057', '0485', '0861']",0.12983333333333333,0.8653842965171588,0.2891631945604729,2,0.09067737603678097,13.67368192183529,8
"[0134]-['0100', '0344', '0389', '0603']",0.3485,0.9937111473279665,0.01261742161273105,2,0.3231546950567971,9.231380507945127,8
"[0134]-['0146', '0150', '0331', '0523']",0.6403333333333333,0.9969306735448132,0.006148092996681953,2,0.7103837349094433,5.433610830932018,8
"[0142]-['0305', '0550', '0632', '0865']",0.521,0.4926068100133939,1.4160879375198547,2,0.549463742977335,6.8815608385381095,8
"[0148]-['0064', '0345', '0542', '0562']",0.10166666666666667,0.94342131823749,0.11648462229187828,2,0.05104602202820993,15.445164268632134,8
"[0148]-['0178', '0331', '0492', '0863']",0.199,0.7992478464872426,0.4481683709255577,2,0.1389948284176778,12.283527364620436,8
"[0149]-['0033', '0135', '0305', '0352']",0.2955,0.9338689829014275,0.13683825171785458,2,0.09408711166367942,13.556358241096548,8
"[0158]-['0304', '0443', '0492', '0600']",0.8945,0.9824507007060502,0.03541022779214131,2,0.9903181220977558,1.6307485723714166,8
"[0164]-['0289', '0336', '0857', '0861']",0.20766666666666667,0.8246540963113591,0.38558251553413925,2,0.16414072077464523,11.720001721860497,8
"[0178]-['0011', '0304', '0353', '0482']",0.4444166666666667,0.9995639394752234,0.0008723112536301869,2,0.4539355665930763,7.793118852617596,8
"[0178]-['0029', '0053', '0142', '0515']",0.27116666666666667,0.9660781097525931,0.06902117816278519,2,0.22290801774270355,10.640572957237795,8
"[0178]-['0482', '0502', '0603', '0664']",0.17141666666666666,0.6146787439220647,0.9733110305270145,2,0.1308501870655646,12.484757680342824,8
"[0180]-['0029', '0044', '0599', '0632']",0.3535,0.8812052273533137,0.2529294639730608,2,0.3215334239916946,9.251409436666,8
"[0239]-['0038', '0443', '0599', '0903']",0.013416666666666667,0.784809034410807,0.48462971812148226,2,0.007904195081624031,20.728673568218873,8
"[0239]-['0043', '0244', '0339', '0744']",0.6673333333333333,1.0,-0.0005768822529148565,2,0.7130421430171907,5.409522996480385,8
"[0239]-['0055', '0164', '0244', '0523']",0.8405,0.977191493503132,0.046145289213257,2,0.9438839906574259,2.8418971622141918,8
"[0240]-['0016', '0134', '0146', '0346']",0.6971666666666667,0.9581554759577594,0.08549044389550886,2,0.7703759569917527,4.879484461006802,8
"[0244]-['0016', '0339', '0489', '0512']",0.18341666666666667,0.7445475407641173,0.5899571458684605,2,0.1357693740617805,12.361976008827149,8
"[0289]-['0008', '0131', '0502', '0632']",0.4519166666666667,0.9625691283047262,0.0762987875678931,2,0.43668811755113335,7.967124234644656,8
"[0289]-['0023', '0072', '0125', '0343']",0.3195,0.8809964362429337,0.2534033963626854,2,0.2634141978474833,10.023016161379228,8
"[0304]-['0022', '0125', '0345', '0859']",0.4900833333333333,0.8724580257528459,0.025772149580404857,1,0.3104561479966695,5.956688613217163,5
"[0305]-['0008', '0142', '0289', '0562']",0.20366666666666666,0.8939835168515666,0.22413588300961607,2,0.14261676443746077,12.197271594918945,8
"[0315]-['0053', '0072', '0389', '0830']",0.6213333333333333,0.9272810330816001,0.008329528745818493,1,0.45736092986548127,4.6708012326746795,5
"[0328]-['0033', '0244', '0506', '0600']",0.79725,1.0,-0.18395646048778858,2,0.9999989341998522,0.14429822050155386,8
"[0328]-['0329', '0331', '0353', '0878']",0.034166666666666665,0.934177707500208,0.13617718772373166,2,0.01582498204409418,18.824842917230733,8
"[0329]-['0057', '0131', '0150', '0353']",0.4365,0.9970602005654965,0.005888258265144941,2,0.42459056113257204,8.091427748457006,8
"[0331]-['0053', '0299', '0327', '0603']",0.3834166666666667,0.8746432966809294,0.024889267678183558,1,0.1793271705659123,7.606018223752811,5
"[0336]-['0135', '0328', '0505', '0512']",0.8620833333333333,0.9555582969855939,0.09091901028492089,2,0.9659891191364194,2.4055660087548434,8
"[0339]-['0075', '0489', '0560', '0903']",0.7625833333333333,1.0,-0.0016275553822708844,2,0.8497505388752162,4.08091115957215,8
"[0343]-['0043', '0131', '0600', '0604']",0.34933333333333333,0.9761271506327086,0.04832484753356425,2,0.31475836961111925,9.335881992900427,8
"[0343]-['0180', '0240', '0482', '0560']",0.011583333333333333,0.9856482289547791,0.028911507602984443,2,0.003006126497890585,23.29440760474685,8
"[0344]-['0029', '0055', '0329', '0544']",0.17491666666666666,0.9924309440655926,0.015195693218203132,2,0.1382889290090447,12.300561692089374,8
"[0345]-['0022', '0080', '0148', '0527']",0.73475,0.9917808362103714,0.016506254691421418,2,0.822782228331358,4.3650034327760245,8
"[0351]-['0031', '0329', '0346', '0589']",0.7401666666666666,0.919044986413015,0.16884041268276917,2,0.828045292057127,4.310848424657975,8
"[0351]-['0057', '0080', '0149', '0604']",0.058166666666666665,0.7382643651478006,0.6069066003381778,2,0.03214923588145357,16.810021838576034,8
"[0351]-['0327', '0343', '0389', '0600']",0.03025,0.8344924043358803,0.36186327595147816,2,0.0045709854351040306,22.192780292094188,8
"[0352]-['0094', '0373', '0562', '0903']",0.6730833333333334,0.9972165165663798,0.005574729054558247,2,0.7390252293579136,5.172175975752491,8
"[0352]-['0135', '0299', '0304', '0589']",0.37275,0.8716116742631079,0.2748225638817985,2,0.3363452661590523,9.07096025841933,8
"[0353]-['0036', '0094', '0562', '0733']",0.5461666666666667,0.5082873964644846,0.43759116129412945,1,0.366463059170087,5.423000369068143,5
"[0373]-['0036', '0042', '0482', '0512']",0.6633333333333333,0.8556958161743127,0.3116806418609457,2,0.726304985845422,5.288843785154461,8
"[0375]-['0100', '0344', '0489', '0889']",0.6648333333333334,0.9960474876742161,0.007920688292699651,2,0.7522944512100689,5.049296920408624,8
"[0443]-['0043', '0134', '0239', '0830']",0.05733333333333333,0.9975360364961358,0.004934008115014876,2,0.015807742119331922,18.827881002263467,8
"[0485]-['0016', '0502', '0603', '0664']",0.27166666666666667,0.9900552343184571,0.019989090337929838,2,0.22712396412537886,10.572398893266401,8
"[0489]-['0008', '0327', '0339', '0859']",0.39808333333333334,0.9850227755498221,0.030181031383520462,2,0.19765849436948224,11.071898960369051,8
"[0492]-['0055', '0058', '0158', '0865']",0.4075,1.0,-0.00612637867027388,2,0.3748135226815739,8.626085016685904,8
"[0492]-['0072', '0327', '0346', '0859']",0.3284166666666667,0.9658404673247349,0.06951321220992668,2,0.29789875443666863,9.551844827022414,8
"[0502]-['0031', '0158', '0482', '0506']",0.06358333333333334,0.6881543052908157,0.7474843705001035,2,0.03773453298466242,16.342313931074695,8
"[0506]-['0033', '0057', '0131', '0600']",0.09358333333333334,0.9109158710511226,0.18660946779931464,2,0.063504538778003,14.783012278920406,8
"[0515]-['0150', '0632', '0861', '0863']",0.23158333333333334,0.9889459099762652,0.022231280973500134,2,0.19052126591134913,11.20186938253773,8
"[0523]-['0023', '0240', '0506', '0889']",0.01,0.7637430543895474,0.5390477252533117,2,0.00026558998609916374,29.437962701638167,8
"[0527]-['0240', '0505', '0550', '0865']",0.5618333333333333,0.9998642893849772,0.0002714396490830495,2,0.6428937932457277,6.0387265720926715,8
"[0544]-['0150', '0336', '0343', '0830']",0.58825,0.9740967530110551,0.05248928906553374,2,0.6469429415558765,6.002579404764439,8
"[0546]-['0023', '0029', '0072', '0527']",0.30583333333333335,0.8620058649353076,0.29698640894464745,2,0.2508329645791754,10.206463239466578,8
"[0546]-['0492', '0527', '0889', '0903']",0.7608333333333334,0.9980029462714852,0.003998100998387599,2,0.8316508700759913,4.273415421156721,8
"[0550]-['0022', '0044', '0094', '0125']",0.66875,0.9997479838188472,0.0005040958851338928,2,0.7291618641608146,5.262726674365327,8
"[0550]-['0029', '0523', '0560', '0733']",0.017416666666666667,0.7708048600569594,0.5206400745007755,2,0.0005089145243147813,27.823914324049152,8
"[0550]-['0030', '0064', '0142', '0603']",0.489,0.9357852558263645,0.13273851272600723,2,0.47734239743487084,7.562363753292529,8
"[0560]-['0036', '0055', '0544', '0878']",0.6115,0.9820350460657166,0.036256565613058456,2,0.6523191212981616,5.954585451257483,8
"[0560]-['0164', '0180', '0489', '0861']",0.4985833333333333,0.9968618607687945,0.006286147031616451,2,0.5294080271493418,7.067125051627766,8
"[0589]-['0036', '0038', '0044', '0878']",0.7540833333333333,0.9993978902531949,0.0012045821753474684,2,0.8342951607848125,4.245781902318441,8
"[0589]-['0131', '0304', '0346', '0373']",0.33475,0.991222978042172,0.017631533783486475,2,0.3026140887245802,9.490579904995867,8
"[0599]-['0031', '0149', '0351', '0664']",0.2855,0.8744015570351097,0.26843112286330495,2,0.20674252431296775,10.911877331176315,8
"[0604]-['0135', '0336', '0502', '0542']",0.71875,0.9620234824634474,0.07743283713837457,2,0.7960682462711879,4.632176407221818,8
"[0617]-['0030', '0146', '0329', '0744']",0.4950833333333333,0.9944107554133716,0.011209845722504497,2,0.49928004283862815,7.350986657513795,8
"[0664]-['0008', '0515', '0562', '0730']",0.37116666666666664,0.8228092530522122,0.39006175091375894,2,0.3374766294580082,9.057403695148443,8
"[0730]-['0031', '0094', '0389', '0515']",0.4519166666666667,0.9730859402284487,0.05456575138602204,2,0.43406228608147046,7.993940202809799,8
"[0733]-['0044', '0180', '0305', '0523']",0.63875,1.0,-0.0022243647662243404,2,0.7672598627196859,4.908969327096466,8
"[0733]-['0327', '0485', '0546', '0599']",0.7884166666666667,1.0,-0.004908753454301973,2,0.9999913892331501,0.2457502976121394,8
"[0744]-['0036', '0148', '0443', '0525']",0.19041666666666668,0.9553593776854876,0.09133539515269717,2,0.14610475554704633,12.115955110189915,8
"[0744]-['0158', '0515', '0863', '0878']",0.7399166666666667,0.9896626664494793,0.02078226975802977,2,0.8326268704708115,4.263234102371763,8
"[0744]-['0373', '0525', '0857', '0861']",0.28975,0.966155814618239,0.06886031800044634,2,0.24538089218509185,10.288154667174368,8
"[0830]-['0080', '0164', '0352', '0617']",0.17025,0.9571936180016427,0.08749918066314422,2,0.12334304896981164,12.680036045173729,8
"[0857]-['0011', '0016', '0315', '0664']",0.03141666666666667,0.8953965192506316,0.2209772411017923,2,0.005137524910213041,21.882874864057758,8
"[0878]-['0055', '0080', '0328', '0331']",0.704,0.9840639978101245,0.03212869123973405,2,0.7644107965954183,4.935843171543586,8
"[0889]-['0058', '0315', '0544', '0617']",0.07458333333333333,0.9688710239452545,0.06324755634787493,2,0.04693127400326507,15.696797541608603,8
"[0889]-['0164', '0344', '0346', '0857']",0.6420833333333333,0.9504780386555391,0.10158044472944994,2,0.6960832167592046,5.5627061481822295,8
"[0903]-['0299', '0527', '0604', '0859']",0.7723333333333333,1.0,-0.2935378976076404,2,0.9999990021916376,0.14190580583526255,8
